Sample ID	block	run	treatment	fauna	temp	cockles_nb	shrimps_nb	worms_nb	seed_nb	seed_depth	Germination1	value1	Germination2	value2
1.7.2	.7	1	2 shrimp - control temp	SHRIMP	COLD	0	2	5	7	0	0_germ_perc	0	0_germ_perc	0
1.7.3	.7	1	2 cockles - control temp	COCKLE	COLD	2	0	0	11	0.272727273	0_germ_perc	0.666666667	0_germ_perc	0.666666667
1.7.4	.7	1	no fauna-control temp	NO	COLD	0	0	0	7	0.714285714	0_germ_perc	0	0_germ_perc	0
1.7.5	.7	1	fauna mix - control temp	MIX	COLD	1	1	0	8	0.125	0_germ_perc	0.666666667	0_germ_perc	0.666666667
1.8.1	.8	1	no fauna-control temp	NO	COLD	0	1	0	14	0.214285714	0_germ_perc	0	0_germ_perc	0
1.8.2	.8	1	worms  - control temp	WORM	COLD	0	0	2	10	0.25	0_germ_perc	0.5	0_germ_perc	0.5
1.8.3	.8	1	2 cockles - control temp	COCKLE	COLD	2	0	9	10	0.5	0_germ_perc	0	0_germ_perc	0
1.8.4	.8	1	2 shrimp - control temp	SHRIMP	COLD	0	0	0	10	0.5	0_germ_perc		0_germ_perc	
1.8.5	.8	1	fauna mix - control temp	MIX	COLD	1	0	0	11	0.318181818	0_germ_perc	0.75	0_germ_perc	0.75
1.9.1	.9	1	fauna mix - warming	MIX	WARM	1	1	0	10	0.45	0_germ_perc	0.333333333	0_germ_perc	0.333333333
1.9.2	.9	1	2 shrimp - warming	SHRIMP	WARM	0	2	0	16	0.4375	0_germ_perc	0	0_germ_perc	0
1.9.3	.9	1	no fauna - warming	NO	WARM	0	0	0	9	0.388888889	0_germ_perc	0.333333333	0_germ_perc	0.333333333
1.9.4	.9	1	no fauna - warming	NO	WARM	0	0	0	10	0.1	0_germ_perc	0	0_germ_perc	0
1.9.5	.9	1	2 cockles - warming	COCKLE	WARM	2	0	0	11	0.454545455	0_germ_perc	1	0_germ_perc	1
2.1.1	.1	2	Worms-control temp	WORM	COLD	0	0	10	10	0	0_germ_perc	0.285714286	0_germ_perc	0.285714286
2.1.2	.1	2	no fauna-control temp	NO	COLD	0	0	0	9	0.222222222	0_germ_perc	0.25	0_germ_perc	0.25
2.1.3	.1	2	Mix-control temp	MIX	COLD	1	1	39	10	0.35	0_germ_perc	0	0_germ_perc	0
2.1.4	.1	2	Shrimps-control temp	SHRIMP	COLD	0	0	0	11	0.090909091	0_germ_perc	0.571428571	0_germ_perc	0.571428571
2.1.5	.1	2	Cockles-control temp	COCKLE	COLD	2	0	0	10	0.5	0_germ_perc	0.5	0_germ_perc	0.5
2.10.1	10	2	no fauna-Warming	NO	WARM	0	0	0	4	0	0_germ_perc	0.25	0_germ_perc	0.25
2.10.2	10	2	Shrimps-Warming	SHRIMP	WARM	0	0	0	10	0.1	0_germ_perc	0.166666667	0_germ_perc	0.166666667
2.10.3	10	2	Mix-Warming	MIX	WARM	1	1	10	9	0.333333333	0_germ_perc	0	0_germ_perc	0
2.10.4	10	2	Worms-Warming	WORM	WARM	0	0	2	10	0.85	0_germ_perc	0.5	0_germ_perc	0.5
2.10.5	10	2	Cockles-Warming	COCKLE	WARM	2	0	0	13	0.884615385	0_germ_perc	0	0_germ_perc	0
2.11.1	11	2	Mix-Warming	MIX	WARM	1	1	10	9	0.777777778	0_germ_perc		0_germ_perc	
2.11.2	11	2	Shrimps-Warming	SHRIMP	WARM	0	1	0	11	0.181818182	0_germ_perc	0.142857143	0_germ_perc	0.142857143
