Sample ID	block	run	treatment	fauna	rank	temp	cockles_nb	shrimps_nb	worms_nb	seed_nb	seed_depth	0_nb	1_nb	2_nb	3_nb	4_nb	5_nb	germinated_perc	germ_perc_deep	0_germ_perc	1_germ_perc	germ_perc_1-6	2_germ_perc	3_germ_perc	4_germ_perc	5_germ_perc	germ_depth	germ_nb	0_germ_nb	1_germ_nb	2_germ_nb	3_germ_nb	4_germ_nb	5_germ_nb	GERM	DEEPNO	X1NO
1.3.1	.3	1	fauna mix - control temp	MIX	5	COLD	0	1	0	11	0.863636364	2	4	5	0	0	0	0.090909091	0	0.5	0	0	0				0	1	1	0	0	0	0	0	0.09	TRUE	TRUE
1.3.2	.3	1	no fauna-control temp	NO	1	COLD	0	0	4	12	0.375	3	9	0	0	0	0	0.428571429	0.6	0	0.6						0.5	3	0	3	0	0	0	0	0.25	TRUE	TRUE
1.3.3	.3	1	2 shrimp - control temp	SHRIMP	3	COLD	0	0	0	13	0.269230769	6	7	0	0	0	0	0.4	0.333333333	0.5	0.333333333						0.25	2	1	1	0	0	0	0	0.15	TRUE	TRUE
1.3.4	.3	1	no fauna-control temp	NO	1	COLD	0	0	0	10	0.25	5	5	0	0	0	0	0.125	0	0.25	0						0	1	1	0	0	0	0	0	0.10	TRUE	TRUE
1.3.5	.3	1	2 cockles - control temp	COCKLE	2	COLD	2	0	0	10	0.25	5	5	0	0	0	0	0.3	0	0.6	0						0	3	3	0	0	0	0	0	0.30	TRUE	TRUE
1.4.1	.4	1	2 cockles - control temp	COCKLE	2	COLD	2	0	6	6	1.666666667	0	0	5	1	0	0	0.166666667	0.166666667			0.166666667	0.2	0			1.5	1	0	0	1	0	0	0	0.17	TRUE	FALSE
1.4.2	.4	1	worms  - control temp	WORM	4	COLD	0	0	3	9	0.444444444	1	8	0	0	0	0	0.375	0.375		0.375						0.5	3	0	3	0	0	0	0	0.33	TRUE	TRUE
1.4.3	.4	1	no fauna-control temp	NO	1	COLD	0	0	1	9	0.333333333	7	1	0	1	0	0	0.428571429	1	0.333333333	1						0.166666667	3	2	1	0	0	0	0	0.33	FALSE	FALSE
1.4.4	.4	1	fauna mix - control temp	MIX	5	COLD	1	1	4	9	0.555555556	1	7	1	0	0	0	0	0	0	0							0	0	0	0	0	0	0	0.00	TRUE	TRUE
1.4.5	.4	1	2 shrimp - control temp	SHRIMP	3	COLD	0	1	4	7	0.357142857	2	5	0	0	0	0	0	0	0	0							0	0	0	0	0	0	0	0.00	TRUE	TRUE
1.5.1	.5	1	2 cockles - control temp	COCKLE	2	COLD	2	0	0	11	0.363636364	3	8	0	0	0	0	0.444444444	0.333333333	0.666666667	0.333333333						0.25	4	2	2	0	0	0	0	0.36	TRUE	TRUE
1.5.2	.5	1	worms  - control temp	WORM	4	COLD	0	0	0	6	0.25	3	3	0	0	0	0	0	0	0	0							0	0	0	0	0	0	0	0.00	TRUE	TRUE
1.5.3	.5	1	no fauna-control temp	NO	1	COLD	0	0	0	7	0.142857143	5	2	0	0	0	0	0.2	0	0.333333333	0						0	1	1	0	0	0	0	0	0.14	FALSE	FALSE
